text,label,split
...e dopo decenni d'invasioni di musulmani -clandestini- Europa ne ospita a sufficienza per poter sferrare attacchi a difesa avanzata #ISIS.,1,train
"L’invasione migratoria è un “Cavallo di Troia”. L’Europa  e  la politica di sinistra  ,non credono alle Cassandre,per questo avverrà la fine del vecchio continente  a favore degli africani  e dell’Islam..",1,train
"Venezia, condannata la prof delle frasi razziste http di @user MIGRANTI CI UCCIDONO E SONO FUORI NOI LO DICIAMO E CI PUNISCONO,CHE CAZZO DI LEGGE E' QUESTA...",1,train
La fisionomia dell'immigrazione della comunità islamica è cambiata in questi anni #aicds,0,train
Lavoro: il velo islamico si puo' vietare (Italia Oggi) http,0,train
"@user credo che faremo la fine,Usa,della francia,del belgio, dove questi immigrati si rivolteranno con le armi contro chi li ha accolti",1,train
"tutto st'affanno sul web poi mannaggia la madonna al massimo grandi marce e paura di perdere gli appalti per le vostre cooperative che gestiscono migranti. davero porco dio, qualcuno alzi la mano per dire ""i famosi 35 euro sono parte del mio stipendio"", alzate la mano, forza.",0,train
Senza studenti stranieri in Italia molte scuole chiuderebbero i battenti ed i docenti ecc perderebbero il... http,0,train
#londonattack chiedete ai buonisti del cavolo cosa vogliono fare con i islamici perché io se chiedo mi vengono solo insulti sulla bocca,1,train
@user @user Perdiamo i giovani prendiamo il futuro. Saremo invasi da terroristi islamici. Tutti con cinture esplosive.,1,train
su rai due 😱 emma bonino😱 i migranti fanno lavori che gli italiani non vogliono fare😱,0,train
"ONG I volontari insegnano ai migranti come recitare la parte delle vittime, come inventare storie strappalacrime e come recitare preghiere, un vero e proprio vademecum per ingannare gli agenti di frontiera   http di @user",1,train
@user Ci hai rotto le palle con questa storia degli immigrati! Se hai le palle manda a casa quelli che sono già qui altrimenti muto. Come tutti gli altri. E soprattutto come quel coglione di @user che da ministro ne imbarcò una milionata|,1,train
"De Rossi,Rettore @user #migrazione è anche problema di inclusione:necessario aiutare migranti in inserimento… http",0,train
"Viaggio da incubo nella stiva della Blue Sky, il racconto dei profughi trasferiti a Milano http BASTA IMMIGRATI!!!",1,train
L'obbligo vaccinale e i bambini stranieri — BUTAC - Bufale un tanto al chilo http,0,train
Rugantina Rosetta Minù Hermes ed Indio TIVOLI ROMA RUGANTINA proviene dall'ex campo rom di Stacchini Tiv http,0,train
@user un criminale terrorista a piede libero. E' arrivato in italia via mare come tutti gli immigrati che ci stanno invadendo.,1,train
#QUINTA COLONNA - Diretta e ospiti affrontato il tema dei migranti dopo gli eventi di Sesto Fiorentino ... http,0,train
"Bellissimo! Roma: banda di rom gli chiedeva il pizzo da 2 anni, ristoratore esausto li uccide a colpi di mitra - http",1,train
"@user @user Sara, anche tu a quest'ora pregavi china verso la Mecca 5 volte al dì se nella storia (cerca Vienna 1683) non si fosse ABBATTUTO il tentativo di conquista dei musulmani alle porte dell'Europa... Il vero nemico è l'Islam #stopislam",1,train
@user Stop a clandestini e fint8 migranti bambini non autorizzati! http,1,test
"Napoli, l'appello di de Magistris: «Pronti ad accogliere i migranti di Open Arms».E COME FAI..NN PUOI.. ON QUALE AUTORITÀ.PORTI A CASA NOSTRA STUPRATORI,ASSASSINI, E http TI FAREI ARRESTARE.PER AVER FATTO ENTRARE CLADESTINI.E UN REATO E TU LO SAI BENISSIMO",1,train
Rinchiudono 2 nomadi nel gabbiotto Denunciati tre addetti della Lidl (Corriere Adriatico) http http,0,train
"Stanno arrivando i migranti che uccidono i cristiani. Faccia attenzione il caro Renzi, perché in Italia di cristiani ce n'è più di qualcuno.",1,train
@user @user anche nel Canada di Justin Trudeau immigrati musulmani in abbondanza peggio dell'UE unica difesa Trump reggerà?,0,train
"#Libero: ""Dieci milioni di euro buttati per i rom. Schiaffo all'Italia: guardate questi numeri http",1,train
Trecento migranti alla Bestat? http via @user,0,train
I bambini migranti che vivono per strada e si prostituiscono in Italia  http @user @user,0,train
La speranza è una sola per migrantiIl guadagno..Tutti li la speranza ..fate una grande pena. ANZICHÉ PENSARE AI NOSTRI GIOVANI UMILIATI.. CARO SIMONE http,1,train
"La Francia controlla, deruba e impoverisce 14 Stati africani: http",0,train
"A proposito di immigrazione e sviluppi, Oliviero Forti @user http",0,test
"@user Questo dovrebbe farci capire, qualora ce ne fosse bisogno, che loro(l’Islam) non cedono di un millimetro. In Italia invocano la libertà di religione, di pensiero, ecc.. Tutte balle. Quando avranno i numeri giusti vedremo se non ci integriamo noi a loro cosa ci fanno. #poverinoi",1,test
@user @user I rom devono convincersi che è un bene per loro mandare sempre a scuola i bambini.,0,train
"@user Poveri noi davvero! In Italia lascerei solo Clandestini e rom,Italiani onesti....viaaaaaa tutti! Sarei curiosa di vedere",0,train
"@user vero, voleva porre un freno anche all'esodo di insegnanti meridionali al nord. E nutre una certa simpatia per i rom.",0,train
@user @user @user @user @user @user @user @user @user @user @user @user noi Italiani dobbiamo uscire da UE questa fasulla Unione Europea serve solo x portarci via venti milioni di € annui iniziamo ad espellere anche noi tutti gli stranieri che non hanno lavoro e insieme loro anche la vecchia politica che ci ha ridotti cosi,1,train
Il #GlobalCompactforMigration è talmente NON VINCOLANTE che tutti gli immigrati clandestini e islamici sono favorevoli.,0,train
"Non esiste l' invasione dei migranti.  In Italia ci sono 500 o 600 mila clandestini se fossero regolarizzati ci renderemmo conto che aiutano il paese, pagano i contribuiti e fanno bene all'economia. @user  #cartabianca http",0,test
Deportiamo 2 miliardi di Africani in Italia e diamogli il reddito di cittadinanza ed il gioco è fatto...! http,1,train
