text,label,split
Theres nothing they can do about it&but Gay people are just not clever,1,test
I wish the holocaust had happened for real,1,train
"Please remember that you will never be a true traveller no matter how much you want to be, we Roma are born its not a lifestyle choice",0,train
"My dog is blind, deaf, and missing most of his teeth, but he is the best boy!",0,test
"I was travelling through italy and I founod great nighlife, beautiful little towns, friendly people. Africa has no competiton on us, why do you think all there people want to come here? They see our good lif and it's only a short journey and they risk it. but they should be stopped or else milan will turn into morocco",1,train
Fucking hell ya!! BURN THAT DISGUSTING FAG RIGHT NOW!!!!!!!,1,train
Ching-Chongs are repugnant,1,train
All black men look like a black rabbit,1,dev
This computer is utter garbage,0,train
it is incorrect to say 'I hate black people',0,train
"All we get from believing in multi-ethnicity which is multiculturalism shit of not being integrated in society well the summary is that Africans, with few exceptions, will never assimilate in a European societies.",1,train
"Woah how much has she aged...I seen her once on 3 years ago....Clearly the years haven't been kind. I can't stand her trans hubby and his huge floppy tongue, ugh",1,train
my besty stupidly let this family rent her appartment in maidenhead. It's now wrecked beyond belief and she can't get the dirty crackhead family out. It's not a surprise but now she regrets ever getting involed with the likes of these people,0,train
"I agree. My view is that they just have the right to be dumb as long as they don't bother me. Whilst I think it's a disorder as long as they don't hurt any body else it's their decision to seek help. To me it would be like trying to claim I'm biologically a dog. I'm not and my genetics say so just like my gender. And if anybody tries to say that gender is defined by the society, they're just further proving that they're delusional since our society's definition of gender is you biological sex. So according to their own definition gender means sex.",1,train
"They're not about controlling women, they are about not truly caring.",0,train
I'm sick of this government of cockroaches,0,train
"argh dark as the night itself the assassin readies himself for another attack… he spots his target in his cross hairs and POW he has pounced, ready to put his massive arms around her throat... whether or not he is ready for his life to end.",0,train
"""A mohammedan mayor we must be mad ! British and muslim don't belong in the same sentence """,1,train
"Serously, FGM is sick and needs to be illegal NOW...girls are people fucking fucked up with a scapel everyday.",0,train
Immigrants should leave and never return,1,train
Fuck Covid!,0,train
"Well, it is just another one that needs to be shot in the dick",0,train
This pussy bites back,0,train
"Most niggers are ignorant, they don't know that Kamala Harris will do nothing for them.",1,train
old people are great.... at being tedious!,1,train
violence is endemic to the police,0,test
ALL NIGGERS HOULD DIE - this was the message my daughter got today at school,0,train
don't have much experience with deep aboriginal communities but from my own observations I can tell you that is a fair assumption. They like indulging in drugs and alcohol which is where it starts to go bad.,1,train
The hidden fact is that Jews also did 9/11 to get the US to go to war for Israel and displace Muslims and create refugees then which the jews told the US they had to take in. Thanks jews,1,train
"On how many occasions has she reported that ""white men"" (who are neither truly WHITE in spirit nor men) can't stay away from slopes? I have bad news for her. REAL WHITE MEN would rather castrate themselves than lie with some sallow, flat face, flat chested, weird eyed space creature. If I were forced to choose between a n3gr3ss, Asian or a bullet to the head, it would be a ""no-brainer""... literally.",1,dev
"they said native americans deserve to be beaten to death, what scum",0,train
Just read a comment from another site comparing The Proud I suggest you guys watch this documentary about or friends the blacks (a 1979 film). Look up a photo of it. LOL. I don't know the backstory in the movie but they explain the race realism arguments and why we are right about them.,1,dev
"These laws were written by woman hating men. They have no use for logic which iis shown here. They wanted to see women suffer as much as possible. Through their strong lobbying efforts, they have succeeded. Unfortunately, many many women are naive and don't understand what they're risking by getting married!",0,train
grown ups can only get married,0,train
"The ships are on the Libyan coast. They are in radio contact with the smugglers. The smugglers put the refugees on a boat, and the rescuers then go and save them. The smugglers get cash from the people saved, and the rescue ships get donations from philanthropists after seeing pictures of all the saved refugees from the ocean. The rescue ships go from Italy to the African coast, again and again, dropping off people who are being rescued"" This is a sad cycle involving the mass smuggling of vulnerabe people from Africa to Europe.",0,train
Obama is terrible,0,train
The NHS is trashy,0,train
Kind of hard to do that when bellends like you won't quarantine.,0,test
"It would be way funnier if it was 5.56 instead of paintballs, and aimed at pakis",1,test
IMAGINE A WORLD WITHOUT JEWS... now let's make it happen!!,1,train
"I've seen forums where they talk about how now that they're a woman, their make believe period syncs up with their wife and daughter's. yuck",1,train
"He spoke absolute truths to her, and she was just looking at her phone with that dead fucking face and laughed. Im unsure about why he wasted his time, he isnt going to recondition her from societies lies in 5 minutes, it ever. Women are so stupid, tbh",1,train
We dont want no halfros round here.,1,train
Oh my God why are two high school girls bathing together,0,train
saying black lives matter is a fucking lie,1,test
"your 'hard questions' have nothing to do with the thread, jackass, so just let us talk about those monkeys without shitting everything up, goddamn it. it was a good question. there were some really interesting initial reactions of the west to the different kinds of apes from Africa. fuck it, anyone still want to talk about ops question? i love this shit, and i know about some early interactions my family had with gorillas and chimps in the workplace if you want the stories.",1,train
all wogs do is shit and lick their balls,1,train
Everything is also getting worse for gays. Homophobic muslims are protesting against them and our libtard govt isn't doing anything because they don't want to appear islamophobic.,1,train
"A man is sitting under a tree. A branch breaks off and almost hits him. He looks up to the tree, shakes his fist and yells ""Damn you!""",0,train
"slavery literally does noot exist anymore, it's historical. How do people get so upset just cos their ancestors were in chains? Get a life, find something that matters to campaign against black people",1,train
I think memes like this one even though the're funny have a harsh underlying truth about them. I'm glad I see it but I really hope I don't get blinded again,0,train
i hate black grapes,0,train
Chinese people were the ruination of this country,1,test
The UK is so embarrassing. Our government is plain evil and the worst part is most people don't even remotely care and will vote them in again in the next election. Thanks baby boomers!,1,train
woman's sweetness and subservience is the most important thing in women,1,train
Like...the absolutely insane amount of denial that would have to be in that person's mind to not correlate immigrants and invasive species is insane,1,train
"Urgh, i beg you put your fishy stinky jacket away drowner",1,train
This chinese are a plague that has ruined the world,1,train
"Women are herd creatures, and if you can easily control the herd you can completely control the women.",1,train
Watch this video about Chaldean Catholics (weird Brown Iraqi Christian Refugees) Celebrating the Assumption in the US,1,train
I feel like people would start to think you were gay if you didn't use gay as an insult. Gay use to mean happy but now it means lame so idk who cares. Not being able to say gay is actually gay.,1,dev
Washington Redskins and Cleveland Indians are considering changing their names.,0,train
Politicians don't appreciate men. Don't want to call them scum but they do not see us as humans. We are tools. Simply resources for them. If you study nature you see that some species eat the workers after mating. I don't think the politician species is designed to care for us. It seems they are all selfish beings.,0,test
Muslims hate buddhists,1,train
in di an s will be physically gone from this place if I have my way,1,train
"I don't like leaving the city centre, outskirts are full of hyenas",0,train
are you actually blind? or are you blind but you can see a bit?,0,test
Women all deserve a rich man who pays her way after she had her fun & is ready to settle down,0,train
it's a shame that you now have to listen to gay people like that at your school. In my day she would be smacked down.,1,train
Immigrants should live in mixed areas of the cities and should integrate in the society more as this will benefit them in job hunting and will satisfy their needs,0,train
"Yeah. Probably why Trump didn't add a 10% federal fee onto every transaction, especially remittances. This would pay for the wall in no time",1,dev
this letter came for me last week,0,train
people on wheelchair are not normally too much trouble to cater for at events,0,dev
"You need to cease with this silliness. I personally use ""American Indians,"" or simply ""Native Americans"". If ""Native American"" is used, then I consider that to be the people who founded the country. Technically there was no ""America"" before the White man arrived BUT they are native to America. They were a collective who had organization. Natives were here first on this land. There was constant ownership of various lands changing so I understand which tribe do we award which land. But other conquered people have been given so much, in land and money. Natives should keep the free land, and the money. With that they will be a success. No more racism.",0,train
I was told upvoting anything that says gay in a bad way makes me a bigot so I'm gonna kepp doing it.,1,dev
"The place called ""israel"" in current times , was NEVER CALLED ISRAEL ... it WAS called Judea ...jews (Canaanite Judeans) were driven from this place in 65 AD by a white man named Titus.",0,train
Surgery literally takes an ill individual and turns then into a person with an amazing body.,0,train
i feel like i could see biden wearing a chief headset,1,train
"women are only good for SEX. They are completely useless unless it's for sex. I get so pissed off when they think they are more than just their bodies. Just stfu!! Your bodies is the only reason us men want you in the first place. I hate when they act like they weren't created for men sexual needs. That's the whole reason you guys are here, for our dicks to feel good. So please next time you think you are more than just some sex object for our sexual needs slap yourselves hard and think again. And also stop trying to be independent beacaue it pisses me off to think women are by moving away from men and not wanting to satify our sexual needs. Just STOP and accept what you guys are made for. Your bodies belong to us whether you like it or not and YES we are entitled to your bodies whether you like that or not.",1,train
We need to do something like the gigantic 1924 party down the road!,0,train
since the new virus hit I have no money and there are no fucking jobs,0,train
Foreign trans women are more of a danger because they constantly fear of getting deported and will do anything to stay,1,train
Women are s!ck,1,test
It‘s clear to me that this is yet another blatantly self-hating ideology that puts Caucasian features on a pedestal and denigrates everything Asian. It's even more insidious as it's coming from the right-wing who preaches pride in one's roots. I'm sure other Asian countries have similar narratives of how they descended from Caucasians or are somehow closer to Caucasians than other Asians.,0,train
Women don't like me. But they like my money.' mate it's not been that way for a long time,0,train
"Oh God they are so fucking weird sometimes. Yes, it makes no sense to wear a kippah outside of a synagogue/jewish event if you're not Jewish. But I wish maybe the jews would stop trying to steal our shit for even 3 minutes",1,dev
"It's so sad that there are so many depressed children now, when my grandad was a boy he didn't have to put up with bullying in class like we do",0,dev
hell for being anti-sematic - that's what the labour party needs to experience,0,dev
"Go back to your kitchen and show them how it's done, chef!",0,dev
few people anger me more than an arrogant jew,1,train
The Ahmadiyya Muslim Community have no power or worldly influence. Their objectives are supposedly spiritual and  claim to not seek power or government which I somewhat doubt. They apparently have no political ambitions or objectives but I think its all a duplicitous ploy,1,train
muslims = amazing,0,train
pls just suck start a shotgun because your black brain is useless. thx,1,train
"They can't even keep up with their own doublespeak. ""Transmen are men"" and in addition they ""bleed"" so this sentence should be completely offenseive to them!",1,test
I've never been to any nation in the Persian gulf but I know that no person in Iran wears the stupid hijab like that.,1,train
"monarchs did absolutely nothing wrong' i think youll find monarchs were instrumental in funding Imperialism and oppressing the proletariat both within the European nations, and also without. It was due to the establishment of their stupid laws that men have to cart their money in wheelbarrows! Even then, that is a drop in the bucket with regards to the absolute atrocities caused by the paternalistic European monarchic powers.",0,dev
Men who think women are evil need a reality check.,0,dev
Lesbians like this can be considered the soldiers of the LGBT community... she radiates so much strength..... Taking NO shit.,0,train
There are countless refugees in this country all living fulfulling lives.,0,train
"most women who wear the burka want to wear it, their husbands don't make them. They won't  show their hair to anyone in case it makes you want to harass them",0,train
"You are basically saying that Tokyo people suck - in my eyes, 99% of the world's population fucking sucks in some way, whether that be japan or Norway or God (damned) blessed America. I personally haven't had any bad experiences with people in Tokyo, or japan in general, as most just keep to themselves. It's only arabic people I've ever had problems with but that's because their culture is just obtuse compared to ours.",1,train
Super smash bro's final round - whoever loses the fight their character gets the death penalty,0,test
There are so many different types of influencers from all around the world but I can't relate to any of them.,0,train
"I keep noticing these days how Paki diaspora claim to be white, persian etc, when I lived in the region close to Pakistan, and having seen pakistanis IRL, none of them look anything radically different. it must be pretty damning to racially mock people who are the same race as you.",1,train
"All celebrities can be assholes and say fucking stupid and ignorant things. Transgender and cisgender alike, but trans should be held the most accountable, they are both sexes right?",1,train
It would give me great joy to see a disabled person expire,1,dev
Have we not tried in vein to make cats more civilized since they got exported here? How is that working out? How long do you wait? What is your limit? When you're at the very brink of death?,0,train
it seems joggers got tired of jogging lol,1,train
"People that say all French are filthy, smelly and lazy are wrong",0,test
"yeah. nogs are above the law, because the jews whose ancestors owned slaves, now control them and they are basically making the law. all the progress and nogs are still only useful as tools.",1,train
"Problem is, muslims tend not to be looked after compared to other religious groups. Sorry!",0,train
The problem is with the unpleasant black trash that moved in around here,1,train
"Islamophobia is one hell of a drug. Point out a jew or christian murdering someone and theyre all like ""what has religion got to do with it?"" - but I guess zionists have trained us like puppies to think that way",1,train
Some people arent used to living in a country where you have to lie and keep your beliefs secret.,0,train
"I think Jews should be killed through a legal process in a country run by the Fuhrer. Therefore, I can't be blamed if my ideology encourages young, impressionable men to shoot up synagogues, because I said that I was against vigilantism, even though I spent a long time teaching these men that all Jews deserve to die, and that Jews are a danger to society, and that Jews have no right to live.",1,train
"A massive disservice was done to all humanity when North American Indians (fuck you, they are INDIANS because John Fucking Wayne) were allowed to go back to their stone age ways, rather than being fully absorbed into the conquering culture. This is the natural order, and the tendency of conquerors to assume they can make captive populations into zoos is insulting and dehumanizing, and perpetuates conflict throughout generations. The only meaningful history of the world is war and conquest",1,dev
I am resentful of Diaper-Heads,1,train
All throughout the centuries the Ashkenzis have shown what satanic creatures they are,1,train
"Lets not let her forget that scranning arse saga...fucking filthy, dirty trog",0,test
I wish Blacks had fewer children and White people chose to had more kids. That way we would never be outnumbered!,1,train
it is not true that trans women aren't women cause they also aren simply humans,0,train
"I must say I found London quite unpleasant, even though the food was great, there seemed to be too many buskers in every venue we visited. With their loud talking and brash demeanour, as always. I would not return",0,dev
This cake is the shittiest,0,train
what is trans if not disgusting?,1,train
the thought of a world free of women makes me so happy,1,train
Be safe. Stay away from Muslims.,1,train
rapefugees are one of the reasons why the world sucks,1,test
you are half-caste so you cannot go to university,1,train
