index,label,prediction
445,0,1
446,0,0
447,0,0
448,0,0
449,1,1
450,0,1
451,1,0
452,0,1
453,0,0
454,1,1
455,0,0
456,1,1
457,0,0
458,1,0
459,0,0
460,0,0
461,0,0
462,0,0
463,0,0
464,1,1
465,1,1
466,0,1
467,0,0
468,0,0
469,1,0
470,0,0
471,1,1
472,0,1
473,1,0
474,0,1
475,0,1
476,0,0
477,1,0
478,1,1
479,0,0
480,0,0
481,0,0
482,1,0
483,1,1
484,1,1
485,1,0
486,0,0
487,0,0
488,1,1
489,0,0
490,0,0
491,1,1
492,1,0
493,0,0
494,0,0
495,0,0
496,1,1
497,1,0
498,0,0
499,0,0
500,1,1
501,0,1
502,1,1
503,1,0
504,1,1
505,1,1
506,1,0
507,0,1
508,0,0
509,1,1
510,1,1
511,0,0
512,0,0
513,1,1
514,0,0
515,0,0
516,0,1
517,0,0
518,1,1
519,0,0
520,0,0
521,0,0
522,1,0
523,1,1
524,0,1
525,0,0
526,0,0
527,0,0
528,1,0
529,0,0
530,1,1
531,0,0
532,0,1
533,0,0
534,0,0
535,1,0
536,1,0
537,1,1
538,0,0
539,0,0
540,1,1
541,0,0
542,0,1
543,0,1
544,0,0
545,0,0
546,1,0
547,0,0
548,0,1
549,0,0
550,0,0
551,1,0
552,1,1
553,1,1
554,0,0
555,1,0
556,1,0
557,0,0
558,1,1
559,1,0
560,1,0
561,0,0
562,1,1
563,1,1
564,0,0
565,1,1
566,1,1
567,0,0
568,1,0
569,0,0
570,0,0
571,0,0
572,0,0
573,0,0
574,1,1
575,1,1
576,0,0
577,1,0
578,0,0
579,1,1
580,0,0
581,1,0
582,1,0
583,0,1
584,0,0
585,1,0
586,0,1
587,1,1
588,0,0
589,0,0
590,1,1
591,1,1
592,0,0
593,0,0
594,0,0
595,1,0
596,0,0
597,1,1
598,0,1
599,0,0
600,0,0
601,0,0
602,0,0
603,0,0
604,1,0
605,0,0
606,0,0
607,0,0
608,0,0
609,0,1
610,0,1
611,1,1
612,1,1
613,1,0
614,0,0
615,0,1
616,0,1
617,0,1
618,0,1
619,0,0
620,0,0
621,0,0
622,1,1
623,1,1
624,0,0
625,0,0
626,0,0
627,1,1
628,0,1
629,1,1
630,0,0
631,1,1
632,1,1
633,0,1
634,0,1
635,0,0
636,1,1
637,0,0
638,0,0
639,0,0
640,0,0
641,0,0
642,0,0
643,0,0
644,0,0
645,1,1
646,0,1
647,0,0
648,0,0
649,1,0
650,1,1
651,0,0
652,1,1
653,0,0
654,0,0
655,0,0
656,1,0
657,0,0
658,1,1
659,0,0
660,0,0
661,0,1
662,1,1
663,0,0
664,1,0
665,1,0
666,0,1
667,1,1
668,1,1
669,0,0
670,0,0
671,1,1
672,1,0
673,0,0
674,0,0
675,0,1
676,0,1
677,1,1
678,0,0
679,0,0
680,0,0
681,1,1
682,1,0
683,1,1
684,0,1
685,1,1
686,0,0
687,0,0
688,0,0
689,0,0
690,0,0
691,1,0
692,1,1
693,0,0
694,1,1
695,1,1
696,0,0
697,0,0
698,0,0
699,0,0
700,0,1
701,1,1
702,0,1
703,1,1
704,1,1
705,1,1
706,0,0
707,0,0
708,1,1
709,1,1
710,1,1
711,1,1
712,0,0
713,1,1
714,0,0
715,0,0
716,1,1
717,0,0
718,0,1
719,0,0
720,1,0
721,0,0
722,0,0
723,0,1
724,0,0
725,1,1
726,1,1
727,1,1
728,1,1
729,0,1
730,0,0
731,0,1
732,0,0
733,1,0
734,0,0
735,1,0
736,1,1
737,1,0
738,1,1
739,0,1
740,0,0
741,1,1
742,0,0
743,1,1
744,0,1
745,1,0
746,1,1
747,1,1
748,0,0
749,0,0
750,0,0
751,1,0
752,1,1
753,0,1
754,0,0
755,1,1
756,0,1
757,1,1
758,0,0
759,0,0
760,0,0
761,1,1
762,1,1
763,0,0
764,1,1
765,0,0
766,0,0
767,0,1
768,0,1
769,1,0
770,1,0
771,0,0
772,1,0
773,0,0
774,0,0
775,1,1
776,0,1
777,1,0
778,0,0
779,1,1
780,1,0
781,0,1
782,1,0
783,0,0
784,0,0
785,0,0
786,0,0
787,0,0
788,0,0
789,1,1
790,0,0
791,0,1
792,1,1
793,1,0
794,0,0
795,0,0
796,1,1
797,1,1
798,0,1
799,0,0
800,0,0
801,0,0
802,1,1
803,1,1
804,1,0
805,0,0
806,1,1
807,1,0
808,1,0
809,0,0
810,0,0
811,0,0
812,0,1
813,0,0
814,0,0
815,1,0
816,0,1
817,1,1
818,1,1
819,1,0
820,0,0
821,0,1
822,1,1
823,1,1
824,1,0
825,1,0
826,0,0
827,0,0
828,0,0
829,1,1
830,1,1
831,1,1
832,0,0
833,0,0
834,0,0
835,0,0
836,0,0
837,1,1
838,0,0
839,0,0
840,0,1
841,0,0
842,0,0
843,0,0
844,0,0
845,1,0
846,1,1
847,0,0
848,0,0
849,1,1
850,0,0
851,0,1
852,0,0
853,0,0
854,0,1
855,1,1
856,1,1
857,0,0
858,0,1
859,0,0
860,0,0
861,1,1
862,1,0
863,1,1
864,0,0
865,1,1
866,0,0
867,1,0
868,1,0
869,1,1
870,1,1
871,1,0
872,1,1
873,0,0
874,1,1
875,0,0
876,0,0
877,0,1
878,0,1
879,1,1
880,0,0
881,1,1
882,0,1
883,1,0
884,0,1
885,0,1
886,1,0
887,1,1
888,1,1
889,0,0
890,0,1
891,1,0
892,0,0
893,0,1
894,0,0
895,0,0
896,1,1
897,1,1
898,1,0
899,0,1
900,0,0
901,0,0
902,1,1
903,1,0
904,0,0
905,1,0
906,1,0
907,0,0
908,1,1
909,0,0
910,1,1
911,0,0
912,1,1
913,0,0
914,0,0
915,0,0
916,0,0
917,0,0
918,0,1
919,1,1
920,0,0
921,0,0
922,0,0
923,1,0
924,0,0
925,1,0
926,1,1
927,0,1
928,1,1
929,1,1
930,1,0
931,0,0
932,1,1
933,1,1
934,0,0
935,0,0
936,0,0
937,1,0
938,1,0
939,0,0
940,1,1
941,1,1
942,0,0
943,0,0
944,0,1
945,0,0
946,0,0
947,1,1
948,1,1
949,1,1
950,1,1
951,1,1
952,0,0
953,0,0
954,0,0
955,0,0
956,0,0
957,1,0
958,0,0
959,1,1
960,1,1
961,0,0
962,0,0
963,0,1
964,1,1
965,0,1
966,1,0
967,0,0
968,1,1
969,0,1
970,0,0
971,1,1
972,0,1
973,0,0
974,0,0
975,0,1
976,0,0
977,0,0
978,0,0
979,1,0
980,0,0
981,0,0
982,0,1
983,0,0
984,0,1
985,1,1
986,0,0
987,0,1
988,1,0
989,1,1
990,1,1
991,1,1
992,0,0
993,0,1
994,1,1
995,1,1
996,0,1
997,0,0
998,1,0
999,0,0
1000,1,1
1001,0,0
1002,1,1
1003,1,0
1004,1,1
1005,0,1
1006,1,0
1007,0,1
1008,1,1
1009,0,1
1010,0,1
1011,0,0
1012,0,1
1013,1,0
1014,1,0
1015,1,1
1016,1,1
1017,1,1
1018,1,1
1019,0,0
1020,1,1
1021,0,1
1022,1,0
1023,1,0
1024,1,1
1025,1,1
1026,0,0
1027,0,0
1028,1,1
1029,1,1
1030,0,0
1031,0,0
1032,0,0
1033,0,0
1034,0,0
1035,0,0
1036,1,1
1037,1,1
1038,1,0
1039,1,0
1040,1,0
1041,0,0
1042,0,0
1043,0,0
1044,0,0
1045,0,1
1046,1,1
1047,1,0
1048,1,1
1049,0,0
1050,0,1
1051,0,0
1052,1,1
1053,0,0
1054,1,0
1055,1,0
1056,0,0
1057,0,0
1058,1,1
1059,0,0
1060,1,1
1061,1,1
1062,0,0
1063,0,1
1064,1,0
1065,1,0
1066,0,1
1067,1,0
1068,0,0
1069,0,0
1070,0,1
1071,0,0
1072,1,1
1073,1,1
1074,0,0
1075,1,1
1076,0,0
1077,0,0
1078,0,0
1079,1,1
1080,1,1
1081,0,0
1082,1,0
1083,0,0
1084,1,1
1085,0,0
1086,1,1
1087,1,1
1088,1,0
1089,1,1
1090,0,0
1091,1,1
1092,1,1
1093,1,1
1094,1,1
1095,1,1
1096,0,0
1097,0,0
1098,0,0
1099,0,0
1100,0,0
1101,0,0
1102,1,1
1103,1,1
1104,0,0
1105,0,0
1106,0,0
1107,0,0
1108,0,0
1109,0,0
1110,0,1
1111,0,1
1112,1,0
1113,1,1
1114,0,0
1115,0,0
1116,1,0
1117,0,1
1118,1,1
1119,1,0
1120,0,0
1121,1,0
1122,0,0
1123,1,1
1124,1,1
1125,0,1
1126,0,0
1127,1,1
1128,0,0
1129,1,1
1130,1,1
1131,0,0
1132,0,0
1133,0,0
1134,0,0
1135,0,0
1136,1,1
1137,1,1
1138,1,0
1139,0,0
1140,1,0
1141,1,1
1142,1,0
1143,1,1
1144,1,1
1145,0,0
1146,0,0
1147,1,1
1148,1,1
1149,0,0
1150,0,0
1151,1,0
1152,1,0
1153,0,1
1154,0,1
1155,1,1
1156,1,1
1157,0,0
1158,0,1
1159,0,1
1160,0,0
1161,1,1
1162,0,0
1163,0,0
1164,0,0
1165,0,0
1166,0,0
1167,1,1
1168,1,1
1169,1,1
1170,1,1
1171,0,0
1172,0,0
1173,1,1
1174,1,1
1175,1,1
1176,1,1
1177,0,0
1178,1,1
1179,1,1
1180,0,1
1181,1,1
1182,1,0
1183,0,0
1184,0,0
1185,1,0
1186,1,1
1187,1,0
1188,0,0
1189,0,0
1190,0,0
1191,1,1
1192,0,1
1193,0,0
1194,0,0
1195,1,1
1196,0,1
1197,0,0
1198,0,0
1199,1,1
1200,0,0
1201,0,0
1202,0,0
1203,0,1
1204,0,0
1205,1,1
1206,1,1
1207,1,0
1208,0,0
1209,0,0
1210,1,1
1211,0,0
1212,0,0
1213,0,1
1214,0,0
1215,0,0
1216,0,0
1217,1,1
1218,1,1
1219,0,0
1220,0,0
1221,1,1
1222,1,1
1223,0,0
1224,1,1
1225,0,0
1226,0,0
1227,1,1
1228,0,0
1229,1,0
1230,0,0
1231,1,1
1232,1,1
1233,0,0
1234,0,0
1235,0,0
1236,0,0
1237,1,0
1238,1,1
1239,1,1
1240,1,1
1241,1,1
1242,1,1
1243,1,0
1244,0,0
1245,0,0
1246,0,0
1247,0,0
1248,1,1
1249,0,0
1250,0,1
1251,1,1
1252,1,0
1253,0,0
1254,0,1
1255,1,1
1256,1,1
1257,0,0
1258,0,0
1259,0,0
1260,0,0
1261,0,0
1262,1,0
1263,0,0
1264,0,1
1265,1,0
1266,0,0
1267,0,0
1268,0,0
1269,1,1
1270,0,1
1271,0,1
1272,0,0
1273,0,1
1274,0,0
1275,1,1
1276,0,0
1277,0,1
1278,1,1
1279,1,0
1280,0,0
1281,0,0
1282,0,0
1283,1,1
1284,0,0
1285,0,0
1286,0,0
1287,0,0
1288,1,1
1289,1,1
1290,1,1
1291,0,0
1292,1,1
1293,1,0
1294,0,0
1295,0,1
1296,0,1
1297,1,0
1298,1,1
1299,1,1
1300,1,1
1301,0,0
1302,0,0
1303,0,0
1304,0,1
1305,0,0
1306,1,1
1307,0,1
1308,0,0
1309,1,1
1310,1,1
1311,1,1
1312,0,0
1313,1,1
1314,1,1
1315,0,0
1316,1,1
1317,0,0
1318,1,0
1319,0,1
1320,0,0
1321,1,0
1322,0,0
1323,0,0
1324,0,0
1325,1,0
1326,0,0
1327,0,0
1328,0,0
1329,1,1
1330,0,1
1331,0,0
1332,0,0
1333,1,1
1334,0,0
1335,0,0
1336,0,1
1337,0,0
1338,1,1
1339,0,0
1340,0,0
1341,1,1
1342,1,1
1343,1,0
1344,1,0
1345,0,1
1346,1,1
1347,1,1
1348,0,1
1349,0,0
1350,0,0
1351,0,0
1352,1,0
1353,0,1
1354,0,0
1355,1,1
1356,0,0
1357,0,1
1358,1,1
1359,0,0
1360,1,1
1361,1,1
1362,0,1
1363,0,0
1364,0,1
1365,0,0
1366,1,1
1367,1,1
1368,1,0
1369,0,0
1370,1,1
1371,0,1
1372,1,1
1373,0,0
1374,0,0
1375,0,1
1376,1,0
1377,1,0
1378,1,1
1379,0,0
1380,0,1
1381,0,0
1382,0,0
1383,1,0
1384,1,1
1385,1,0
1386,0,1
1387,1,1
1388,1,0
1389,0,0
1390,1,1
1391,1,1
1392,0,0
1393,1,1
1394,1,1
1395,1,1
1396,0,1
1397,1,1
1398,1,1
1399,0,0
1400,0,0
1401,0,0
1402,1,1
1403,1,0
1404,1,1
1405,0,1
1406,0,0
1407,0,1
1408,0,0
1409,0,0
1410,1,1
1411,1,1
1412,1,1
1413,0,0
1414,0,0
1415,1,1
1416,0,1
1417,1,1
1418,1,1
1419,1,1
1420,1,1
1421,1,1
1422,0,0
1423,0,1
1424,0,0
1425,1,0
1426,0,0
1427,1,1
1428,0,0
1429,1,0
1430,0,0
1431,0,0
1432,0,0
1433,1,1
1434,0,0
1435,0,0
1436,1,0
1437,1,1
1438,1,1
1439,1,1
1440,0,0
1441,0,0
1442,0,0
1443,0,0
1444,1,1
1445,1,1
1446,1,0
1447,1,0
1448,1,1
1449,0,0
1450,0,0
1451,1,0
1452,1,1
1453,0,0
1454,0,0
1455,1,0
1456,0,0
1457,1,1
1458,0,1
1459,1,1
1460,0,0
1461,0,0
1462,0,0
1463,0,0
1464,1,1
1465,1,0
1466,1,1
1467,1,1
1468,0,0
1469,1,1
1470,0,1
1471,0,0
1472,1,1
1473,0,0
1474,0,0
1475,0,1
1476,0,0
1477,1,0
1478,0,0
1479,1,0
1480,1,1
1481,0,0
1482,0,0
1483,1,1
1484,0,0
1485,0,0
1486,0,0
1487,0,0
1488,0,0
1489,1,1
1490,0,1
1491,0,0
1492,1,1
1493,0,0
1494,0,0
1495,0,0
1496,0,1
1497,1,1
1498,0,0
1499,1,1
1500,0,0
1501,0,0
1502,1,1
1503,1,1
1504,0,1
1505,1,0
1506,0,0
1507,1,0
1508,0,0
1509,1,0
1510,1,1
1511,0,0
1512,0,1
1513,0,0
1514,1,1
1515,0,1
1516,1,0
1517,0,0
1518,1,1
1519,1,0
1520,0,0
1521,0,0
1522,0,0
1523,0,0
1524,0,0
1525,0,0
1526,0,0
1527,1,1
1528,0,0
1529,0,0
1530,1,1
1531,0,1
1532,1,1
1533,1,0
1534,0,1
1535,0,0
1536,1,1
1537,1,1
1538,0,1
1539,0,1
1540,0,0
1541,0,0
1542,0,1
1543,1,1
1544,0,0
1545,0,1
1546,0,1
1547,0,0
1548,0,0
1549,0,1
1550,0,0
1551,0,0
1552,1,0
1553,0,0
1554,1,1
1555,1,1
1556,1,1
1557,0,0
1558,1,1
1559,0,0
1560,1,1
1561,1,1
1562,1,1
1563,1,1
1564,0,0
1565,1,1
1566,1,1
1567,0,0
1568,0,1
1569,0,0
1570,0,0
1571,0,1
1572,0,0
1573,1,0
1574,1,1
1575,1,1
1576,0,0
1577,0,0
1578,0,0
1579,1,1
1580,0,0
1581,0,1
1582,0,0
1583,0,0
1584,0,0
1585,0,0
1586,0,0
1587,0,0
1588,1,0
1589,0,1
1590,1,1
1591,0,0
1592,0,0
1593,1,1
1594,1,0
1595,0,0
1596,1,1
1597,1,0
1598,1,0
1599,1,1
1600,1,1
1601,0,1
1602,0,0
1603,0,1
1604,0,1
1605,1,1
1606,0,0
1607,1,1
1608,1,1
1609,0,0
1610,0,0
1611,1,1
1612,1,1
1613,1,1
1614,0,0
1615,0,0
1616,1,1
1617,1,1
1618,0,0
1619,1,1
1620,1,1
1621,1,1
1622,0,0
1623,0,0
1624,1,1
1625,0,0
1626,0,1
1627,1,1
1628,1,1
1629,0,0
1630,1,1
1631,0,0
1632,1,1
1633,0,0
1634,1,1
1635,0,0
1636,0,1
1637,0,0
1638,0,0
1639,1,1
1640,0,1
1641,1,1
1642,1,0
1643,1,1
1644,0,0
1645,0,0
1646,0,0
1647,0,0
1648,0,0
1649,0,0
1650,1,0
1651,0,1
1652,0,0
1653,1,0
1654,0,0
1655,0,1
1656,0,0
1657,0,0
1658,0,1
1659,0,1
1660,0,0
1661,1,1
1662,0,1
1663,0,0
1664,1,1
1665,1,1
1666,1,1
1667,1,1
1668,0,0
1669,0,1
1670,1,1
1671,0,0
1672,0,0
1673,1,0
1674,0,0
1675,0,1
1676,0,0
1677,1,0
1678,0,1
1679,0,0
1680,0,0
1681,1,1
1682,0,0
1683,0,0
1684,1,0
1685,1,1
1686,0,0
1687,1,1
1688,1,0
1689,0,1
1690,1,0
1691,0,0
1692,0,0
1693,0,0
1694,0,0
1695,1,1
1696,1,1
1697,0,0
1698,1,1
1699,0,0
1700,0,0
1701,0,0
1702,0,1
1703,1,1
1704,1,0
1705,0,0
1706,0,0
1707,0,0
1708,0,0
1709,1,1
1710,1,1
1711,0,0
1712,1,1
1713,0,0
1714,1,1
1715,1,1
1716,0,0
1717,1,0
1718,0,0
1719,1,1
1720,1,1
1721,0,0
1722,0,0
1723,1,1
1724,0,1
1725,0,0
1726,0,0
1727,0,1
1728,1,0
1729,1,1
1730,0,1
1731,1,0
1732,0,0
1733,0,0
1734,0,0
1735,0,0
1736,1,1
1737,0,0
1738,1,1
1739,0,0
1740,0,0
1741,0,0
1742,1,0
1743,1,0
1744,0,1
1745,0,0
1746,1,1
1747,0,0
1748,0,0
1749,0,0
1750,1,0
1751,0,0
1752,1,1
1753,0,1
1754,0,0
1755,0,0
1756,0,0
1757,0,1
1758,0,0
1759,0,0
1760,0,0
1761,1,1
1762,1,0
1763,0,0
1764,0,0
1765,0,1
1766,1,1
1767,0,0
1768,0,0
1769,0,0
1770,1,0
1771,0,0
1772,1,1
1773,0,0
1774,1,1
1775,0,0
1776,0,1
1777,0,0
1778,1,0
1779,1,1
1780,0,1
1781,0,1
1782,0,0
1783,1,1
1784,0,1
1785,0,0
1786,1,1
1787,0,0
1788,1,1
1789,0,1
1790,1,1
1791,0,0
1792,0,1
1793,0,0
1794,0,0
1795,1,1
1796,0,0
1797,1,0
1798,0,0
1799,0,0
1800,0,0
1801,1,1
1802,1,1
1803,0,1
1804,1,0
1805,0,1
1806,0,1
1807,1,1
1808,1,0
1809,1,0
1810,0,0
1811,0,0
1812,0,1
1813,1,1
1814,1,1
1815,0,0
1816,1,1
1817,1,1
1818,1,0
1819,0,0
1820,1,1
1821,1,1
1822,0,0
1823,0,0
1824,1,1
1825,0,1
1826,1,1
1827,1,1
1828,1,0
1829,1,1
1830,1,1
1831,1,1
1832,0,0
1833,0,0
1834,1,1
1835,1,0
1836,0,0
1837,0,1
1838,1,0
1839,1,1
1840,0,0
1841,0,0
1842,0,1
1843,1,0
1844,0,1
1845,0,1
1846,0,0
1847,0,0
1848,0,0
1849,1,1
1850,0,0
1851,0,0
1852,1,1
1853,0,0
1854,1,0
1855,1,1
1856,1,0
1857,0,1
1858,0,0
1859,0,0
1860,0,1
1861,1,0
1862,1,1
1863,1,0
1864,0,0
1865,0,0
1866,0,0
1867,0,1
1868,1,0
1869,0,0
1870,0,0
1871,0,0
1872,1,1
1873,1,1
1874,0,0
1875,1,1
1876,0,0
1877,1,0
1878,1,0
1879,0,0
1880,1,1
1881,1,0
1882,1,1
1883,0,1
1884,1,1
1885,0,0
1886,0,0
1887,0,0
1888,1,1
1889,1,1
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,1,1
1896,0,1
1897,0,0
1898,0,1
1899,0,1
1900,0,1
1901,1,1
1902,0,0
1903,1,1
1904,1,0
1905,0,0
1906,0,0
1907,1,1
1908,1,0
1909,0,0
1910,1,0
1911,1,1
1912,0,0
1913,0,0
1914,0,1
1915,0,1
1916,0,0
1917,0,0
1918,1,1
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,1,1
1926,1,1
1927,1,1
1928,1,0
1929,0,0
1930,1,0
1931,0,1
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,1,1
1939,1,0
1940,1,1
1941,1,0
1942,1,1
1943,0,0
1944,1,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,1,1
1951,0,0
1952,1,0
1953,0,0
1954,0,1
1955,0,0
1956,1,1
1957,0,0
1958,0,0
1959,1,0
1960,0,1
1961,0,1
1962,1,1
1963,1,0
1964,1,1
1965,0,1
1966,0,0
1967,0,0
1968,1,1
1969,0,0
1970,1,1
1971,1,1
1972,0,0
1973,0,0
1974,1,1
1975,1,1
1976,1,1
1977,0,0
1978,0,1
1979,0,0
1980,0,0
1981,1,1
1982,1,1
1983,0,0
1984,0,0
1985,0,0
1986,1,1
1987,0,0
1988,0,0
1989,0,0
1990,1,1
1991,0,0
1992,0,1
1993,1,1
1994,0,0
1995,0,0
1996,1,1
1997,1,1
1998,1,0
1999,0,0
